Track for Fay           2008
MM/DD/Year HH:MM:SS      (deg)         (deg)
08/15/2008 08:53:03     18.066 N     65.753 W
08/15/2008 08:55:02     18.068 N     65.762 W
08/15/2008 08:57:02     18.069 N     65.772 W
08/15/2008 08:59:02     18.070 N     65.781 W
08/15/2008 09:01:03     18.072 N     65.791 W
08/15/2008 09:03:03     18.073 N     65.800 W
08/15/2008 09:05:03     18.075 N     65.810 W
08/15/2008 09:07:03     18.076 N     65.819 W
08/15/2008 09:09:02     18.077 N     65.829 W
08/15/2008 09:11:02     18.079 N     65.838 W
08/15/2008 09:13:02     18.080 N     65.848 W
08/15/2008 09:15:02     18.082 N     65.858 W
08/15/2008 09:17:03     18.083 N     65.867 W
08/15/2008 09:19:03     18.084 N     65.877 W
08/15/2008 09:21:03     18.086 N     65.886 W
08/15/2008 09:23:03     18.087 N     65.896 W
08/15/2008 09:25:02     18.089 N     65.905 W
08/15/2008 09:27:02     18.090 N     65.915 W
08/15/2008 09:29:02     18.092 N     65.924 W
08/15/2008 09:31:03     18.093 N     65.934 W
08/15/2008 09:33:03     18.094 N     65.944 W
08/15/2008 09:35:03     18.096 N     65.953 W
08/15/2008 09:37:03     18.097 N     65.963 W
08/15/2008 09:39:02     18.099 N     65.972 W
08/15/2008 09:41:02     18.100 N     65.982 W
08/15/2008 09:43:02     18.101 N     65.991 W
08/15/2008 09:45:02     18.103 N     66.001 W
08/15/2008 09:47:03     18.104 N     66.010 W
08/15/2008 09:49:03     18.106 N     66.020 W
08/15/2008 09:51:03     18.107 N     66.029 W
08/15/2008 09:53:03     18.108 N     66.039 W
08/15/2008 09:55:02     18.110 N     66.049 W
08/15/2008 09:57:02     18.111 N     66.058 W
08/15/2008 09:59:02     18.113 N     66.068 W
08/15/2008 10:01:03     18.114 N     66.077 W
